Density,Numerical_integration,Saddle_point,NNLO
0.0,0j,,
0.05,(1.5213918256165653e-08-1.964792810002764e-09j),3.044726729629702e-07,
0.1,(0.00018448854374110085-3.133996213650912e-05j),0.0018467092941226266,
0.15000000000000002,(0.005397923030946707-0.0010849662283205282j),0.03602437191080688,
0.2,(0.029969297599524138-0.0068207230982031035j),0.14998647459539335,
0.25,(0.08260213525370191-0.020779096392088466j),0.3306132137145463,
0.30000000000000004,(0.15861891845174192-0.04343577910078294j),0.52879284913894,
0.35000000000000003,(0.2467523701685518-0.07278643476548513j),0.7046052135337243,
0.4,(0.33601073525061337-0.10595252667014046j),0.8388055451193859,
0.45,(0.4185009685070424-0.14024656181285558j),0.927638201002682,
0.5,(0.48966671038588155-0.17359849998812085j),0.9755693732373942,
0.55,(0.5475616927194276-0.20461036054884693j),0.9902206626009438,
0.6000000000000001,(0.5919841355723471-0.23245518537763543j),0.9796021516215211,
0.65,(0.6237657231939814-0.25673647468129585j),0.9508612373193761,
0.7000000000000001,(0.6442684810552514-0.27735784739143976j),0.9098663333251705,
0.75,(0.6550592549352634-0.29441874853932903j),0.8611954407837399,
0.8,(0.6577140284252564-0.3081372653419902j),0.8082925018349659,
0.8500000000000001,(0.653709708749177-0.31879585221588463j),0.7536723212332808,
0.9,(0.6443716688539983-0.32670468335882663j),0.6991196988341244,
0.9500000000000001,(0.630855173594042-0.33217786633592966j),0.6458617081921043,
1.0,(0.6141463306417414-0.3355187138649401j),0.5947080387175905,
1.05,(0.595073472918728-0.33701122482997065j),0.5461613044214397,
1.1,(0.574323397565409-0.3369157187401102j),0.500501753272975,
1.1500000000000001,(0.5524591638172486-0.33546717704706536j),0.45785126631097245,
1.2000000000000002,(0.5299375907515508-0.33287529250862546j),0.4182211162747951,
1.25,(0.5071254843567841-0.32932554809169484j),0.3815472435711565,
1.3,(0.48431415856846544-0.32498087187323776j),0.34771606771454616,
1.35,(0.46173212700901234-0.31998357026777163j),0.3165831923622345,
1.4000000000000001,(0.43955601561637225-0.31445734870011127j),0.28798681405090715,
1.4500000000000002,(0.4179198351522687-0.30850930123752107j),0.2617572076705173,
1.5,(0.39692279087486615-0.30223179922443755j),0.23772332155818082,
1.55,(0.3766358157649048-0.29570424106107007j),0.21571725447644405,
1.6,(0.35710700676102486-0.2889946461334059j),0.19557718908258329,
1.6500000000000001,(0.33836612846975683-0.28216108914519766j),0.17714920756641042,
1.7000000000000002,(0.3204283305042855-0.27525297921397635j),0.160288303346854,
1.75,(0.3032972056910928-0.2683121927845677j),0.14485881891461166,
1.8,(0.2869672983421033-0.26137407185578637j),0.13073447695791207,
1.85,(0.2714261553494943-0.25446830000545306j),0.11779812426562568,
1.9000000000000001,(0.2566559983049249-0.2476196687745023j),0.10594127118001224,
1.9500000000000002,(0.24263508220623925-0.24084874649423807j),0.09506347991887167,
2.0,(0.22933879548815644-0.23417246085207188j),0.08507162950864523,
2.0500000000000003,(0.21674054692943492-0.2276046055475951j),0.07587905955193397,
2.1,(0.20481247725362864-0.22115628039372578j),0.06740456416516724,
2.15,(0.19352602675967062-0.2148362732298357j),0.059571161601442456,
2.2,(0.18285238491006336-0.20865139107274816j),0.05230448464097653,
2.25,(0.17276284330411687-0.2026067470579005j),0.04553047625812998,
2.3000000000000003,(0.163229069727252-0.19670600892632578j),0.03917171694924424,
2.35,(0.15422331787018792-0.19095161409606046j),0.03314081218189609,
2.4000000000000004,(0.14571858474759722-0.18534495571717235j),0.027326664131598476,
2.45,(0.13768872572470342-0.1798865435436888j),0.02156019148335381,
2.5,(0.130108535306819-0.17457614295744112j),0.01550043220042067,
2.5500000000000003,(0.12295380039796162-0.16941289504202392j),0.007923856173551952,
2.6,(0.11620133153790697-0.16439542022342027j),,-138057944.20268765
2.6500000000000004,(0.10982897663855344-0.15943257678292486j),,-1499364.240667125
2.7,(0.10381562092508395-0.15454136384282008j),,-163644.63206934778
2.75,(0.09814117611361678-0.14973039233801338j),,-37158.77254895586
2.8000000000000003,(0.09278656130081442-0.14500680641820504j),,-12155.376400034591
2.85,(0.08773367758296023-0.14037645684626657j),,-4950.645140314374
2.9000000000000004,(0.08296537804372922-0.13584405546609088j),,-2333.7752609165054
2.95,(0.07846543443817391-0.13141331274731066j),,-1221.3150580061126
3.0,(0.07421850164368708-0.1270870602105288j),,-691.2188909592046
3.0500000000000003,(0.07021008073731787-0.12286735935103169j),,-415.7601298525126
3.1,(0.06642648138501128-0.11875559851049883j),,-262.54072349581276
3.1500000000000004,(0.06285478408554676-0.1147525789939139j),,-172.50801452127155
3.2,(0.05948280269484614-0.11085859159163176j),,-117.15947456157008
3.25,(0.05629904756043069-0.10707348454309282j),,-81.82132292235805
3.3000000000000003,(0.053292689517465554-0.10339672386790842j),,-58.522115477686214
3.35,(0.0504535249339943-0.09982744689074341j),,-42.729949746894874
3.4000000000000004,(0.047771941941108245-0.09636450969758903j),,-31.765915867047838
3.45,(0.04523888794183901-0.09300652918155614j),,-23.991993421420826
3.5,(0.04284583845876127-0.08975192026537032j),,-18.376524546276848
3.5500000000000003,(0.04058476735323272-0.08659892882438686j),,-14.252547828179162
3.6,(0.03844811842767932-0.08354566077739164j),,-11.178738855462964
3.6500000000000004,(0.036428778405365125-0.08059010776204048j),,-8.856938309493644
3.7,(0.034520051268878235-0.07773016976679464j),,-7.0819019970979955
3.75,(0.03271563392839767-0.07496367505111619j),,-5.709931450270337
3.8000000000000003,(0.031009593183173534-0.07228839764993097j),,-4.638856635640114
3.85,(0.029396343934035493-0.06970207272648636j),,-3.795005469585111
3.9000000000000004,(0.027870628600803693-0.06720241000931429j),,-3.1245657923648014
3.95,(0.026427497695862875-0.06478710552366951j),,-2.5877629296507325
